# 226 - Mots fréquents

|le pneu|pnø|шина
|la fraude|fʁod|мошенничество
|le coton|kɔtɔ̃|хлопок
|entrevoir|ɑ̃tʁəvwaʁ|предусматривать
|stipuler|stipyle|оговаривать
|remédier|ʁ(ə)medje|помогать от
|flotter|flɔte|плавать
|la fraction|fʁaksjɔ̃|фракция
|la impossibilité|ɛ̃pɔsibilite|невозможность
|conditionnel|kɔ̃disjɔnɛl|условный
|la nuance|nɥɑ̃s|нюанс
|improbable|ɛ̃pʁɔbabl|маловероятный
|le enquêteur|ɑ̃kɛtœʁ, -øz|интервьюер
|conjointement|kɔ̃ʒwɛ̃tmɑ̃|вместе
|éclaircir|eklɛʁsiʁ|прояснять
|le bordel|bɔʁdɛl|бордель
|impatient|ɛ̃pasjɑ̃, -t|нетерпеливый
|le versement|vɛʁsəmɑ̃|взнос
|bosser|bɔse|вкалывать
|articuler|aʁtikyle|сочленять
