# 083 - Mots fréquents

|la exportation|ɛkspɔʁtasjɔ̃|экспорт
|prier|pʁije|молить
|trente|tʁɑ̃t|тридцать
|la âme|ɑm|душа
|dominer|dɔmine|доминировать
|la autorisation|ɔtɔʁizasjɔ̃|разрешение
|le instrument|ɛ̃stʁymɑ̃|инструмент
|la indépendance|ɛ̃depɑ̃dɑ̃s|независимость
|le tort|tɔʁ|вина
|la hauteur|ˈotœʁ|высота
|critiquer|kʁitike|критиковать
|la attaque|atak|атака
|la assurance|asyʁɑ̃s|уверенность
|le déficit|defisit|дефицит
|évoluer|evɔlɥe|эволюционировать
|la drogue|dʁɔg|лекарство
|concret|kɔ̃kʁɛ, -ɛt|конкретный
|percevoir|pɛʁsəvwaʁ|воспринимать
|le rythme|ʁitm|ритм
|approuver|apʁuve|одобрять
