# 174 - Mots fréquents

|le menu|məny|меню
|imaginaire|imaʒinɛʁ|воображаемый
|administrer|administʁe|управлять
|la atteinte|atɛ̃t|повреждение
|démissionner|demisjɔne|подать в отставку
|racheter|ʁaʃ(ə)te|выкупать
|théorique|teɔʁik|теоретический
|la guise|giz|манера
|scandaleux|skɑ̃dalø, -øz|скандальный
|vulnérable|vylneʁabl|уязвимый
|ennuyer|ɑ̃nɥije|досаждать
|le élan|elɑ̃|порыв
|nominal|nɔminal, -o|номинальный
|manipuler|manipyle|манипулировать
|peiner|pene|печалить
|le renouvellement|ʁ(ə)nuvɛlmɑ̃|возобновление
|noble|nɔbl|благородный
|hebdomadaire|ɛbdɔmadɛʁ|еженедельный
|la approbation|apʁɔbasjɔ̃|апробация
|le protestant|pʁɔtɛstɑ̃, -t|протестант
