# 103 - Mots fréquents

|nôtre|notʁ|наш
|éclairer|ekleʁe|освещать
|consommer|kɔ̃sɔme|потреблять
|le infirmier|ɛ̃fiʁmje, -jɛʁ|санитар
|caractéristique|kaʁakteʁistik|характерный
|dépenser|depɑ̃se|расходовать
|censé|sɑ̃se|полагаемый
|la fuite|fɥit|бегство
|la conviction|kɔ̃viksjɔ̃|убеждение
|nettement|nɛtmɑ̃|чисто
|détenir|det(ə)niʁ|удерживать
|la évaluation|evalɥasjɔ̃|оценка
|la installation|ɛ̃stalasjɔ̃|размещение
|innocent|inɔsɑ̃, -t|невинный
|fameux|famø, -øz|знаменитый
|cultiver|kyltive|культивировать
|doux|du, dus|сладкий
|gouverner|guvɛʁne|управлять
|jouir|ʒwiʁ|наслаждаться
|parcourir|paʁkuʁiʁ|пробегать
