# 044 - Mots fréquents

|le usage|yzaʒ|обычай
|le conflit|kɔ̃fli|конфликт
|hors|ˈɔʁ|вне
|la enquête|ɑ̃kɛt|расследование
|le terrain|teʁɛ̃|почва
|mars|maʁs|март
|tellement|tɛlmɑ̃|столь
|le espace|ɛspas|пространство
|demain|d(ə)mɛ̃|завтра
|hier|jɛʁ|вчера
|confier|kɔ̃fje|поручать
|remarquer|ʁ(ə)maʁke|замечать
|le égard|egaʁ|внимание
|supérieur|sypeʁjœʁ|верхний
|huit|ˈɥi(t)|восемь
|condamner|kɔ̃dɑne|осуждать
|capital|kapital, -o|главный
|le lien|ljɛ̃|связь
|la voiture|vwatyʁ|экипаж
|la discussion|diskysjɔ̃|дискуссия
