# 070 - Mots fréquents

|échouer|eʃwe|потерпеть неудачу
|désirer|deziʁe|желать
|la côte|kot|ребро
|la génération|ʒeneʁasjɔ̃|рождение
|le vent|vɑ̃|ветер
|la technologie|tɛknɔlɔʒi|технология
|inquiéter|ɛ̃kjete|беспокоить
|le dépit|depi|досада
|le équilibre|ekilibʁ|равновесие
|inquiet|ɛ̃kjɛ, -ɛt|беспокойный
|le obstacle|ɔpstakl|препятствие
|la réflexion|ʁeflɛksjɔ̃|отражение
|uniquement|ynikmɑ̃|единственно
|affecter|afɛkte|притворяться
|la revanche|ʁ(ə)vɑ̃ʃ|реванш
|ressembler|ʁ(ə)sɑ̃ble|быть похожим
|la station|stasjɔ̃|станция
|supporter|sypɔʁte|поддерживать
|privé|pʁive|приватный
|la catégorie|kategɔʁi|категория
