# 133 - Mots fréquents

|sacrifier|sakʁifje|жертвовать
|chimique|ʃimik|химический
|la compétition|kɔ̃petisjɔ̃|соревнование
|combiner|kɔ̃bine|комбинировать
|le touriste|tuʁist|турист
|ravir|ʁaviʁ|похищать
|le pardon|paʁdɔ̃|пардон
|le filet|filɛ|ниточка
|atomique|atɔmik|атомный
|contribuable|kɔ̃tʁibɥabl|облагаемый
|progressivement|pʁɔgʁesivmɑ̃|постепенно
|la progression|pʁɔgʁesjɔ̃|прогрессирование
|le nez|ne|нос
|antérieur|ɑ̃teʁjœʁ|передний
|inacceptable|inaksɛptabl|неприемлемый
|progressif|pʁɔgʁesif, -v|прогрессирующий
|la adhésion|adezjɔ̃|прилипание
|le portrait|pɔʁtʁɛ|портрет
|détailler|detaje|детализировать
|valable|valabl|ценный
