# 195 - Mots fréquents

|la pile|pil|куча
|le kilo|kilo|кило
|la citoyenneté|sitwajɛnte|гражданство
|la douceur|dusœʁ|сладость
|attester|atɛste|аттестовать
|attraper|atʁape|поймать
|prestigieux|pʁɛstiʒjø, -jøz|престижный
|ruiner|ʁɥine|разрушать
|la croix|kʁwa|крест
|nullement|nylmɑ̃|нисколько
|incorporer|ɛ̃kɔʁpɔʁe|включать
|débloquer|deblɔke|деблокировать
|ficher|fiʃe|вбивать
|la censure|sɑ̃syʁ|цензура
|linguistique|lɛ̃gɥistik|лингвистика
|accompli|akɔ̃pli|совершившийся
|terriblement|teʁibləmɑ̃|ужасно
|la main|majn|рука (кисть)
|la invasion|ɛ̃vazjɔ̃|вторжение
|orange|ɔʁɑ̃ʒ|оранжевый
