# 050 - Mots fréquents

|le fonds|fɔ̃|почва, средства
|coûter|kute|стоить
|la reprise|ʁ(ə)pʁiz|повторение
|la presse|pʁɛs|пресса
|rouge|ʁuʒ|красный
|la majorité|maʒɔʁite|большинство
|autoriser|ɔtɔʁize|разрешать
|effectuer|efɛktɥe|исполнять
|le bord|bɔʁ|край
|central|sɑ̃tʁal, -o|центральный
|la procédure|pʁɔsedyʁ|процедура
|la faveur|favœʁ|одолжение
|la éducation|edykasjɔ̃|воспитание
|officiel|ɔfisjɛl|официальный
|le document|dɔkymɑ̃|документ
|le aspect|aspɛ|вид
|retourner|ʁ(ə)tuʁne|переворачивать
|professionnel|pʁɔfesjɔnɛl|профессиональный
|auparavant|opaʁavɑ̃|прежде
|le animal|animal, -o|животное
