# 029 - Mots fréquents

|le corps|kɔʁ|тело
|la matière|matjɛʁ|материя
|le sein|sɛ̃|грудь
|la difficulté|difikylte|трудность
|parvenir|paʁvəniʁ|достигать
|le secteur|sɛktœʁ|сектор
|le appel|apɛl|призыв
|le cœur|kœʁ|сердце
|le père|pɛʁ|отец, родитель
|la organisation|ɔʁganizasjɔ̃|организация
|la unité|ynite|единица
|noir|nwaʁ|чёрный
|le événement|evɛnmɑ̃|событие
|double|dubl|двойной
|convaincre|kɔ̃vɛ̃kʁ|убеждать
|la nation|nasjɔ̃|нация
|le conseil|kɔ̃sɛj|совет
|soutenir|sut(ə)niʁ|поддерживать
|la paix|pɛ|Пис-Ривер
|la nuit|nɥi|ночь
