# 184 - Mots fréquents

|sélectionner|selɛksjɔne|селекционировать
|familier|familje, -jɛʁ|знакомый
|la quinzaine|kɛ̃zɛn|около пятнадцати
|paralyser|paʁalize|парализовать
|la impatience|ɛ̃pasjɑ̃s|нетерпение
|le logiciel|lɔʒisjɛl|программа
|visiblement|vizibləmɑ̃|видимо
|suicider|sɥiside|самоубиваться
|le préjugé|pʁeʒyʒe|предубеждение
|impératif|ɛ̃peʁatif, -v|повелительный
|le renvoi|ʁɑ̃vwa|отправить обратно
|le charme|ʃaʁm|очарование
|le atout|atu|козырь
|portugais|pɔʁtygɛ, -z|португальский
|le nord|nɔʁ(mɛʁdy)|север
|le affaiblissement|afeblismɑ̃|ослабление
|balayer|baleje|мести
|peupler|pœple|населять
|le cauchemar|koʃmaʁ|кошмар
|pénible|penibl|трудный
