# 177 - Mots fréquents

|magique|maʒik|магический
|bien|bjɛ̃|хорошо
|le cap|kap|мыс
|raide|ʁɛd|негибкий
|maigre|mɛgʁ|худой
|artistique|aʁtistik|артистический
|aspirer|aspiʁe|вдыхать
|habituellement|abitɥɛlmɑ̃|обычно
|quasiment|kazimɑ̃|почти что
|la allure|alyʁ|походка
|le deuil|dœj|траур
|énoncer|enɔ̃se|излагать
|islamiste|islamist|исламский
|le prénom|pʁenɔ̃|имя
|réussir|ʁeysi|удаваться
|bilatéral|bilateʁal, -o|двусторонний
|le rétablissement|ʁetablismɑ̃|восстановление
|cynique|sinik|циничный
|environnemental|ɑ̃viʁɔnmɑ̃tal, -o|окружающая среда
|le constructeur|kɔ̃stʁyktœʁ, -ʁis|конструктор
