# 093 - Mots fréquents

|classique|klasik|классический
|la alliance|aljɑ̃s|альянс
|la préoccupation|pʁeɔkypasjɔ̃|озабоченность
|la trace|tʁas|след
|le logement|lɔʒmɑ̃|квартира
|le langage|lɑ̃gaʒ|язык
|la plainte|plɛ̃t|жалоба
|chaud|ʃo, -d|тёплый
|taire|tɛʁ|молчать
|la émotion|emosjɔ̃|эмоция
|judiciaire|ʒydisjɛʁ|юридический
|progresser|pʁɔgʁese|прогрессировать
|le secours|s(ə)kuʁ|помощь
|confronter|kɔ̃fʁɔ̃te|сопоставлять
|strict|stʁikt|строгий
|le club|klœb|клуб
|le ouvrier|uvʁije, -jɛʁ|рабочий
|la souffrance|sufʁɑ̃s|страдание
|la observation|ɔpsɛʁvasjɔ̃|соблюдение
|rétablir|ʁetabliʁ|восстанавливать
