# 153 - Mots fréquents

|le détriment|detʁimɑ̃|ущерб
|unanime|ynanim|единогласный
|agiter|aʒite|качать
|la élimination|eliminasjɔ̃|устранение
|nazi|nazi|нацистский
|le col|kɔl|воротник
|impressionner|ɛ̃pʁesjɔne|впечатлять
|accessible|aksesibl|досягаемый
|la résidence|ʁezidɑ̃s|резиденция
|dedans|dədɑ̃|внутри
|agressif|agʁesif, -v|агрессивный
|loger|lɔʒe|проживать
|ouvertement|uvɛʁtəmɑ̃|открыто
|la patience|pasjɑ̃s|терпение
|stimuler|stimyle|стимулировать
|le classement|klɑsmɑ̃|классифицирование
|la arrestation|aʁɛstasjɔ̃|арест
|longuement|lɔ̃gmɑ̃|долго
|ancêtre|ɑ̃sɛtʁ|предок
|la intensité|ɛ̃tɑ̃site|интенсивность
