# 032 - Mots fréquents

|le été|ete|лето
|inviter|ɛ̃vite|приглашать
|extérieur|ɛksteʁjœʁ|внешний
|le pied|pje|нога
|la mission|misjɔ̃|миссия
|le débat|deba|обсуждение
|la fille|fij|дочь
|répéter|ʁepete|повторять
|le texte|tɛkst|текст
|profiter|pʁɔfite|пользоваться
|la chambre|ʃɑ̃bʁ|комната
|la création|kʁeasjɔ̃|создание
|prouver|pʁuve|доказывать
|acheter|aʃ(ə)te|покупать
|la justice|ʒystis|справедливость
|la production|pʁɔdyksjɔ̃|производство
|ignorer|iɲɔʁe|не знать
|directeur|diʁɛktœʁ, -ʁis|директор
|la santé|sɑ̃te|здоровье
|souffrir|sufʁiʁ|страдать
