# 101 - Mots fréquents

|le climat|klima|климат
|le séjour|seʒuʁ|пребывание
|guider|gide|вести
|spécialiser|spesjalize|специализировать
|bien|bjɛ̃|хорошо
|le sport|spɔʁ|спорт
|la amélioration|ameljɔʁasjɔ̃|улучшение
|la douleur|dulœʁ|боль
|la issue|isy|выход
|généreux|ʒeneʁø, -øz|великодушный
|absent|apsɑ̃, -t|отсутствующий
|le talent|talɑ̃|талант
|normalement|nɔʁmalmɑ̃|нормально
|la remarque|ʁ(ə)maʁk|замечание
|détourner|detuʁne|отклонять
|raisonnable|ʁɛzɔnabl|разумный
|suprême|sypʁɛm|верховный
|éventuel|evɑ̃tɥɛl|возможный
|blesser|blese|ранить
|la orientation|ɔʁjɑ̃tasjɔ̃|ориентирование
