# 100 - Mots fréquents

|la faim|fɛ̃|голод
|excuser|ɛkskyze|извинять
|recommander|ʁ(ə)kɔmɑ̃de|рекомендовать
|le concept|kɔ̃sɛpt|концепт
|le cerveau|sɛʁvo|мозг
|le truc|tʁyk|вещь
|allié|alje|союзный
|scolaire|skɔlɛʁ|школьный
|arabe|aʁab|арабский
|diffuser|difyze|рассеивать
|budgétaire|bydʒetɛʁ|бюджетный
|inquiétant|ɛ̃kjetɑ̃, -t|беспокоящий
|inclure|ɛ̃klyʁ|включать
|le style|stil|стиль
|combler|kɔ̃ble|переполнять
|la ombre|ɔ̃bʁ|тень
|annuler|anyle|аннулировать
|joueur|ʒwœʁ, -øz|игривый
|bloquer|blɔke|блокировать
|la interprétation|ɛ̃tɛʁpʁetasjɔ̃|интерпретация
