# 063 - Mots fréquents

|efficace|efikas|эффективный
|intéressant|ɛ̃teʁesɑ̃, -t|интересный
|la île|il|остров
|la cité|site|город
|la carrière|kaʁjɛʁ|карьера
|voter|vɔte|голосовать
|le traité|tʁete|трактат
|la libération|libeʁasjɔ̃|освобождение
|nourrir|nuʁiʁ|кормить
|sérieusement|seʁjøzmɑ̃|серьёзно
|le bras|bʁɑ|рука (от плеча до кисти)
|immédiat|imedja, -t|непосредственный
|exceptionnel|ɛksɛpsjɔnɛl|исключительный
|rechercher|ʁ(ə)ʃɛʁʃe|искать
|le palestinien|palestinjɛ̃, -jɛn|палестинец
|le lendemain|lɑ̃dmɛ̃|завтра
|le producteur|pʁɔdyktœʁ, -ʁis|производитель
|garantir|gaʁɑ̃tiʁ|гарантировать
|le geste|ʒɛst|жест
|roman|ʁɔmɑ̃, -an|романский
