# 154 - Mots fréquents

|la grandeur|gʁɑ̃dœʁ|величие
|le entraînement|ɑ̃tʁɛnmɑ̃|вовлечение
|déborder|debɔʁde|переполнять
|le conducteur|kɔ̃dyktœʁ, -ʁis|руководитель
|la pollution|pɔlysjɔ̃|загрязнение
|islamique|islamik|исламский
|la attribution|atʁibysjɔ̃|присвоение
|la caméra|kameʁa|камера
|dissimuler|disimyle|скрывать
|chronique|kʁɔnik|летопись
|la ère|ɛʁ|эра
|le rappel|ʁapɛl|отзыв
|le fabricant|fabʁikɑ̃, -t|фабрикант
|la utilité|ytilite|польза
|ethnique|ɛtnik|этнический
|la annexe|anɛks|дополнение
|le interlocuteur|ɛ̃tɛʁlɔkytœʁ, -ʁis|собеседник
|spécifier|spesifje|уточнять
|souple|supl|гибкий
|la rémunération|ʁemyneʁasjɔ̃|вознаграждение
