# 37 - IELTS Words

|justifiable|ˈʤʌstɪˌfaɪəbl|законный
|tailored|ˈteɪləd|приспособленный
|peculiar|pɪˈkju:lɪə|специфический
|underpin|ʌndəˈpɪn|подводить фундамент
|generic|ʤɪˈnerɪk|общий
|clue|klu:|ключь
|sustain|səˈsteɪn|нести, поддерживать
|perceive|pəˈsi:v|воспринимать
|intangible|ɪnˈtænʤɪbl|неосязаемый
|essentially|ɪˈsenʃlɪ|по существу
|objective|əbˈʤektɪv|цель
|liaise|lɪˈeɪz|поддерживать связь
|recurrence|rɪˈkʌrəns|повторение
|hinge|hɪnʒ|шарнир
|cope|kəʊp|преодолевать
|adherence|ədˈhɪərəns|строгое соблюдение
|adverse|ˈædvɜ:s|неблагоприятный
|occurrence|əˈkʌrns|случай
|incipient|ɪnˈsɪpɪənt|начальный
|assessment|əˈsesmənt|оценка
|oversee|əʊvəˈsi:|наблюдать
|definitive|dɪˈfɪnɪtɪv|окончательный
|release|rɪˈli:s|версия
|contingency|kənˈtɪnʤnsɪ|резерв
|amendment|əˈmen(d)mnt|поправка
