# 10 - IELTS Words

|strain|streɪn|напрягать
|joint|ʤɔɪnt|сочленение, сустав
|intake|ˈɪnteɪk|поглощение
|expenditure|ɪkˈspendɪʧə|потребление, расходование
|sedentary|ˈsedntrɪ|сидячий; неподвижный
|yeast|ji:st|дрожжи
|since|sɪns|так как
|while|waɪl|несмотря на то, в то время как
|whereas|weərˈæz|тогда как; несмотря на то
|concession|kənˈseʃn|уступка, соглашение
|cushion|ˈkʊʃn|пругая прокладка, подушка
|rise|raɪz|увелиться, стать больше
|raise|reɪz|увеличивать что-то
|passage|ˈpæsɪʤ|место, отрывок
|ancestor|ˈænsestə|прародитель, предок
|nomadic|nəʊˈmædɪk|кочевой, кочующий
|defensive|dɪˈfensɪv|оборонительный; оборонный
|flourish|ˈflʌrɪʃ|расцвет, высшая точка развития
|irrigate|ˈɪrɪɡeɪt|орошать
|grand|ɡrænd|грандиозный, великий
|fertile|ˈfɜ:taɪl|плодородный
|reliant|rɪˈlaɪənt|уверенный
|withhold|wɪðˈhəʊld|сдерживать, удерживать
|grain|ɡreɪn|зерно; хлебные злаки
|ensue|ɪnˈsju:|получаться в результате
