# 34 - IELTS Words

|incur|ɪnˈkɜ:|нести
|synopsis|sɪˈnɒpsɪs|краткий обзор
|lease|li:s|аренда
|rogue|rəʊɡ|жулик
|transmission|trænzˈmɪʃn|передача
|stack|stæk|кипа, куча
|pop|pɒp|всунусть, вытолкнуть
|circumference|səˈkʌmfrns|окружность
|framework|ˈfreɪmwɜ:k|каркас
|seamless|ˈsi:mləs|плавный, гладкий
|adhere|ədˈhɪə|придерживаться
|cumbersome|ˈkʌmbəsm|громоздкий
|impose|ɪmˈpəʊz|налагать
|counterpart|ˈkæʊntəpɑ:t|аналог
|tackle|ˈtækl|бороться, нести удар
|testament|ˈtestəmnt|завещание
|notably|ˈnəʊtəblɪ|особенно
|delineate|dɪˈlɪnɪeɪt|описывать
|coax|kəʊks|убеждать
|encompass|ɪnˈkʌmpəs|охватывать
|conceive|kənˈsi:v|задумать
|imply|ɪmˈplaɪ|подразумевать
|equate|ɪˈkweɪt|приравнивать
|rote|rəʊt|зубрёжка
|transceiver|trænˈsi:və|приемо-передатчик
