# 06 - IELTS Words

|nutrient|ˈnju:trɪənt|питательное вещество
|magnesium|mæɡˈni:zɪəm|магний
|longing|ˈlɒŋɪŋ|сильно, страстно желающий
|flavoured|ˈfleɪvəd|ароматный
|oatmeal|ˈəʊtmi:l|овсянка, овсяная каша
|creamy|ˈkri:mɪ|сметанообразный
|odds|ɒdz|неравенство; разница
|sniff|snɪf|вдыхать через нос
|counteract|kæʊntərˈækt|нейтрализовать
|binge|bɪnʤ|e
|smorgasbord|ˈsmɔ:ɡəsbɔ:d|шведский стол
|squelch|skwelʧ|подавить; заставить замолчать
|curb|kɜ:b|обуздывать, сдерживать, укрощать
|reveal|rɪˈvi:l|открывать; разоблачать
|neglect|nɪˈɡlekt|пренебрежение, игнорирование
|bland|blænd|вежливый; ласковый
|supplement|ˈsʌplɪmnt|добавление, дополнение
|beverage|ˈbevrɪʤ|напиток
|eliminate|ɪˈlɪmɪneɪt|странять, исключать
|succumb|səˈkʌm|поддаваться, уступать
|lick|lɪk|лизать; колотить
|walnut|ˈwɔ:lnʌt|грецкий орех
|almond|ˈɑ:mənd|миндаль
|peanut|ˈpi:nʌt|арахис
|extinguish|ɪkˈstɪŋɡwɪʃ|гасить, ликвидировать
