# 38 - IELTS Words

|supplement|ˈsʌplɪmnt|дополнение
|asset|ˈæset|имущество
|charge|ʧɑ:ʤ|плата, взымать стоимость
|depreciate|dɪˈpri:ʃɪeɪt|обесценивать
|obsolescence|ˌɒbsəˈlesns|моральный износ
|tangible|ˈtænʤɪbl|осязаемый
|revenue|ˈrevənju:|доход
|provision|prəˈvɪʒn|предоставление
|contingency|kənˈtɪnʤnsɪ|резервный
|rigorous|ˈrɪɡrəs|строгий
|likelihood|ˈlaɪklɪhʊd|вероятность
|credibility|kredɪˈbɪlɪtɪ|правдоподобие
|replication|replɪˈkeɪʃn|копирование
|fluctuate|ˈflʌkʧʊeɪt|колебаться
|gourmet|ˈɡʊəmeɪ|гурман
|intimate|ˈɪntɪmət|интимный; сокровенный
|balk|bɔ:lk|упрямиться
|institute|ˈɪnstɪtju:t|устанавливать
|retention|rɪˈtenʃn|членство
|compliance|kəmˈplaɪəns|согласие
|aggregate|ˈæɡrɪɡət|суммировать
|malicious|məˈlɪʃəs|злонамеренный
|conventional|kənˈvenʃnl|стандартный
|hassle|ˈhæsl|препядствие
|abreast|əˈbrest|в ряду
