# 05 - IELTS Words

|dim|dɪm|тусклый, неяркий
|consonant|ˈkɒnsnənt|согласный звук
|outwit|æʊtˈwɪt|перехитрить; провести, обмануть
|addict|ˈædɪkt|увлекаться, предаваться (чему-л.)
|down|dæʊn|глотать (особ. быстро)
|crave|kreɪv|страстно желать, жаждать
|insatiable|ɪnˈseɪʃəbl|ненасытный; жадный
|mortgage|ˈmɔ:ɡɪʤ|ручаться, давать обещание
|wage|weɪʤ|зарплата
|sideline|ˈsaɪdlaɪn|исключать, оттеснять на второй план
|trim|trɪm|приятный, хорошенький
|heal|hi:l|вылечивать, исцелять
|indulge|ɪnˈdʌlʤ|удовлетворять свои желания
|subdue|səbˈdju:|подчинять, покорять, подавлять
|doughnut|ˈdəʊnʌt|пончик; жареный пирожок
|lard|lɑ:d|свиное сало, свиной жир
|sucrose|ˈsju:krəʊz|сахароза
|sabotage|ˈsæbətɑ:ʒ|вредительство
|savvy|ˈsævɪ|сообразительность, находчивость
|yen|jen|сильное желание
|guacamole|ˌɡwækəˈməʊlɪ|соус из авокадо и томатов со специями
|entrée|ˈɒntreɪ|блюдо
|trimming|ˈtrɪmɪŋ|украшение, отделка
|swing|swɪŋ|качание, колебание
|hankering|ˈhæŋkrɪŋ|страстное желание; стремление
