# 03 - IELTS Words

|intact|ɪnˈtækt|невредимый, целый
|dash|dæʃ|ринуться; мчаться, нестись
|gaze|ɡeɪz|пристально глядеть; вглядываться; уставиться
|livelihood|ˈlaɪvlɪhʊd|жалование, заработок, пособие, стипендия
|amuse|əˈmju:z|позабавить, развеселить
|pant|pænt|часто и тяжело дышать, задыхаться
|straggle|ˈstræɡl|быть беспорядочно разбросанным
|struggle|ˈstrʌɡl|борoться
|manage|ˈmænɪʤ|ухитриться, справляться, управлять
|contribute|kənˈtrɪbju:t|вносить вклад
|necessarily|ˈnesəsrɪlɪ|непременно, обязательно
|harass|ˈhærəs|волновать, изводить, тревожить
|matter|ˈmætə|вопрос, дело
|propose|prəˈpəʊz|предлагать; вносить предложение
|overleaf|əʊvəˈli:f|на обратной стороне листа
|predicament|prɪˈdɪkəmnt|затруднительное положение
|draw|drɔ:|тащить, волочить; тянуть
|facility|fəˈsɪlɪtɪ|возможность, льготы
|hesitate|ˈhezɪteɪt|находиться в нерешительности
|rectify|ˈrektɪfaɪ|исправлять (ошибки, упущения и т. п.)
|sought|sɔ:t|от seek
|solace|ˈsɒlɪs|утешение; смягчение
|hiccup|ˈhɪkʌp|икота
|persistence|pəˈsɪstns|настойчивость, стойкость, упорство
|seal|si:l|запечатывать
