# C1 - 110 - die Substantive


|die Abwägung|der Abwägung&emsp;die Abwägungen|взвешивание

|die Beteiligung|der Beteiligung&emsp;die Beteiligungen|участие

|die Lebensqualität|der Lebensqualität&emsp;die Lebensqualitäten|качество жизни

|die Erfassung|der Erfassung&emsp;die Erfassungen|учет

|die Leitung|der Leitung&emsp;die Leitungen|руководство

|die Reihenfolge|der Reihenfolge&emsp;die Reihenfolgen|последовательность

|die Gegenüberstellung|der Gegenüberstellung&emsp;die Gegenüberstellungen|противопоставление

|die Konzentration|der Konzentration&emsp;die Konzentrationen|концентрация

|die Zuweisung|der Zuweisung&emsp;die Zuweisungen|назначение

|die Schätzung|der Schätzung&emsp;die Schätzungen|оценка
