# B2 - 080 - die Substantive


|die Nachfrage|der Nachfrage&emsp;die Nachfragen|спрос

|das Verfahren|des Verfahrens&emsp;die Verfahren|процедура

|die Vorstellung|der Vorstellung&emsp;die Vorstellungen|представление

|die Substanz|der Substanz&emsp;die Substanzen|вещество

|die Zugehörigkeit|der Zugehörigkeit&emsp;die Zugehörigkeiten|принадлежность

|die Abhängigkeit|der Abhängigkeit&emsp;die Abhängigkeiten|зависимость

|das Gutachten|des Gutachtens&emsp;die Gutachten|заключение (экспертное)

|der Beitrag|des Beitrags&emsp;die Beiträge|вклад

|der Moment|des Moments&emsp;die Momente|момент

|das Einkommen|des Einkommens&emsp;die Einkommen|доход
