# C1 - 105 - die Substantive


|die Abrüstung|der Abrüstung&emsp;die Abrüstungen|разоружение

|die Eigenheit|der Eigenheit&emsp;die Eigenheiten|особенность

|die Sicherheitsmaßnahme|der Sicherheitsmaßnahme&emsp;die Sicherheitsmaßnahmen|мера безопасности

|der Auftrag|des Auftrags&emsp;die Aufträge|заказ

|die Untersuchung|der Untersuchung&emsp;die Untersuchungen|исследование

|die Bewahrung|der Bewahrung&emsp;die Bewahrungen|сохранение

|die Aufrechterhaltung|der Aufrechterhaltung&emsp;die Aufrechterhaltungen|поддержание

|der Abbau|des Abbaus&emsp;die Abbaue|сокращение

|die Planung|der Planung&emsp;die Planungen|планирование

|die Angelegenheit|der Angelegenheit&emsp;die Angelegenheiten|дело
