# B2 - 092 - die Substantive


|die Funktion|der Funktion&emsp;die Funktionen|функция

|die Verpflichtung|der Verpflichtung&emsp;die Verpflichtungen|обязательство

|die Kompetenz|der Kompetenz&emsp;die Kompetenzen|компетенция

|die Erscheinung|der Erscheinung&emsp;die Erscheinungen|явление

|die Anforderung|der Anforderung&emsp;die Anforderungen|требование

|die Veränderung|der Veränderung&emsp;die Veränderungen|изменение

|die Hoffnung|der Hoffnung&emsp;die Hoffnungen|надежда

|die Hierarchie|der Hierarchie&emsp;die Hierarchien|иерархия

|die Pflicht|der Pflicht&emsp;die Pflichten|обязанность

|die Debatte|der Debatte&emsp;die Debatten|дебаты
