# A2 - 052 - die Substantive


|der Bereich|des Bereichs&emsp;die Bereiche|область

|der Bericht|des Berichts&emsp;die Berichte|отчет

|die Beruhigung|der Beruhigung&emsp;die Beruhigungen|успокоение

|die Berührung|der Berührung&emsp;die Berührungen|прикосновение

|der Besen|des Besens&emsp;die Besen|веник

|der Besitzer|des Besitzers&emsp;die Besitzer|владелец

|die Bestätigung|der Bestätigung&emsp;die Bestätigungen|подтверждение

|der Besuch|des Besuchs&emsp;die Besuche|посещение

|das Bettlaken|des Bettlakens&emsp;die Bettlaken|простыня

|das Bienenhaus|des Bienenhauses&emsp;die Bienenhäuser|улей
