# B1 - 067 - die Substantive


|das Gespräch|des Gespräches&emsp;die Gespräche|разговор

|die Kombination|der Kombination&emsp;die Kombinationen|комбинация

|der Ozean|des Ozeans&emsp;die Ozeane|океан

|der Hügel|des Hügels&emsp;die Hügel|холм

|das Einverständnis|des Einverständnisses&emsp;die Einverständnisse|согласие

|der Mittwoch|des Mittwochs&emsp;die Mittwoche|среда

|das Leben|des Lebens&emsp;die Leben|жизнь

|der Magen|des Magens&emsp;die Mägen|желудок

|der Faktor|des Faktors&emsp;die Faktoren|фактор

|der Februar|des Februars&emsp;die Februare|февраль
