# C1 - 103 - die Substantive


|die Abwechslung|der Abwechslung&emsp;die Abwechslungen|разнообразие

|die Terminologie|der Terminologie&emsp;die Terminologien|терминология

|die Bereitschaft|der Bereitschaft&emsp;die Bereitschaften|готовность

|die Verständigung|der Verständigung&emsp;die Verständigungen|взаимопонимание

|die Erarbeitung|der Erarbeitung&emsp;die Erarbeitungen|разработка

|die Reduzierung|der Reduzierung&emsp;die Reduzierungen|сокращение

|die Entschlossenheit|der Entschlossenheit&emsp;die Entschlossenheiten|решимость

|die Vermeidung|der Vermeidung&emsp;die Vermeidungen|избегание

|die Freizeitgestaltung|der Freizeitgestaltung&emsp;die Freizeitgestaltungen|организация досуга

|die Erhebung|der Erhebung&emsp;die Erhebungen|сбор данных
