# B2 - 095 - die Substantive


|die Integrität|der Integrität&emsp;die Integritäten|целостность

|die Eigenschaft|der Eigenschaft&emsp;die Eigenschaften|характеристика

|die Bewältigung|der Bewältigung&emsp;die Bewältigungen|преодоление

|die Ausnahme|der Ausnahme&emsp;die Ausnahmen|исключение

|der Schaden|des Schadens&emsp;die Schäden|ущерб

|die Eigenschaft|der Eigenschaft&emsp;die Eigenschaften|качество

|die Zunahme|der Zunahme&emsp;die Zunahmen|увеличение

|die Assoziation|der Assoziation&emsp;die Assoziationen|ассоциация

|die Verfügbarkeit|der Verfügbarkeit&emsp;die Verfügbarkeiten|доступность

|der Vorschlag|des Vorschlags&emsp;die Vorschläge|предложение
