# C2 - 114 - die Substantive


|die Hebung|der Hebung&emsp;die Hebungen|подъем

|die Denunziation|der Denunziation&emsp;die Denunziationen|донос

|die Belastbarkeit|der Belastbarkeit&emsp;die Belastbarkeiten|устойчивость

|die Differenzierung|der Differenzierung&emsp;die Differenzierungen|дифференциация

|die Enthaltung|der Enthaltung&emsp;die Enthaltungen|воздержание

|die Beeinträchtigung|der Beeinträchtigung&emsp;die Beeinträchtigungen|ущерб

|die Ermutigung|der Ermutigung&emsp;die Ermutigungen|подбадривание

|die Fokussierung|der Fokussierung&emsp;die Fokussierungen|фокусировка

|die Anklage|der Anklage&emsp;die Anklagen|обвинение

|die Abmagerung|der Abmagerung&emsp;die Abmagerungen|похудение
