# A2 - 051 - die Substantive


|der Bauarbeiter|des Bauarbeiters&emsp;die Bauarbeiter|строитель

|die Baustelle|der Baustelle&emsp;die Baustellen|строительная площадка

|der Bauer|des Bauern&emsp;die Bauern|фермер

|der Baumarkt|des Baumarktes&emsp;die Baumärkte|магазин строительных материалов

|der Becher|des Bechers&emsp;die Becher|стакан

|die Bedienung|der Bedienung&emsp;die Bedienungen|обслуживание

|die Beerdigung|der Beerdigung&emsp;die Beerdigungen|похороны

|die Begründung|der Begründung&emsp;die Begründungen|обоснование

|der Beleg|des Beleges&emsp;die Belege|квитанция

|die Beratung|der Beratung&emsp;die Beratungen|консультация
