# B1 - 065 - die Substantive


|die Last|der Last&emsp;die Lasten|груз

|das Reisebüro|des Reisebüros&emsp;die Reisebüros|туристическое агентство

|die Minderheit|der Minderheit&emsp;die Minderheiten|меньшинство

|der Patient|des Patienten&emsp;die Patienten|пациент

|das Abenteuer|des Abenteuers&emsp;die Abenteuer|приключение

|das Obst|des Obstes&emsp;die Obste|фрукты

|die Kellnerin|der Kellnerin&emsp;die Kellnerinnen|официантка

|das Band|des Bandes&emsp;die Bänder|лента

|das Missverständnis|des Missverständnisses&emsp;die Missverständnisse|недоразумение

|der Abschluss|des Abschlusses&emsp;die Abschlüsse|завершение
