# A1 - 009 - die Substantive


|der Löffel|des Löffels&emsp;die Löffel|ложка

|das Fest|des Festes&emsp;die Feste|фестиваль

|der Bleistift|des Bleistiftes&emsp;die Bleistifte|карандаш

|der Arbeitsplatz|des Arbeitsplatzes&emsp;die Arbeitsplätze|рабочее место

|der Zahn|des Zahnes&emsp;die Zähne|зуб

|die Milch|der Milch&emsp;die Milche|молоко

|der Krimi|des Krimis&emsp;die Krimis|детектив

|das Brettspiel|des Brettspieles&emsp;die Brettspiele|настольная игра

|der Chef|des Chefs&emsp;die Chefs|начальник

|der Ball|des Balles&emsp;die Bälle|мяч
