# A2 - 060 - die Substantive


|der Helm|des Helmes&emsp;die Helme|шлем

|der Hersteller|des Herstellers&emsp;die Hersteller|производитель

|das Hochhaus|des Hochhauses&emsp;die Hochhäuser|высотное здание

|das Huhn|des Huhnes&emsp;die Hühner|курица

|der Humor|des Humors&emsp;die Humore|юмор

|die Information|der Information&emsp;die Informationen|информация

|das Instrument|des Instruments&emsp;die Instrumente|инструмент

|das Jahrzehnt|des Jahrzehnts&emsp;die Jahrzehnte|десятилетие

|der Journalist|des Journalisten&emsp;die Journalisten|журналист

|die Jugend|der Jugend&emsp;die Jugenden|молодежь
