# B2 - 078 - die Substantive


|die Reaktion|der Reaktion&emsp;die Reaktionen|реакция

|die Identität|der Identität&emsp;die Identitäten|идентичность

|die Sitzung|der Sitzung&emsp;die Sitzungen|заседание

|die Technik|der Technik&emsp;die Techniken|техника

|die Organisation|der Organisation&emsp;die Organisationen|организация

|der Zusammenhang|des Zusammenhangs&emsp;die Zusammenhänge|связь

|die Regierung|der Regierung&emsp;die Regierungen|правительство

|die Kosten|der Kosten&emsp;die Kosten|расходы

|die Zusammenarbeit|der Zusammenarbeit&emsp;die Zusammenarbeiten|сотрудничество

|der Aufwand|des Aufwands&emsp;die Aufwände|затраты
