# A1 - 032 - die Substantive


|das Tier|des Tieres&emsp;die Tiere|животное

|das Besteck|des Bestecks&emsp;die Bestecke|столовые приборы

|der Schrank|des Schrankes&emsp;die Schränke|шкаф

|der Hund|des Hundes&emsp;die Hunde|собака

|die Katze|der Katze&emsp;die Katzen|кошка

|die Pause|der Pause&emsp;die Pausen|пауза

|der Regen|des Regens&emsp;die Regen|дождь

|die Karte|der Karte&emsp;die Karten|открытка

|der Keller|des Kellers&emsp;die Keller|подвал

|das Sofa|des Sofas&emsp;die Sofas|диван
