# B2 - 081 - die Substantive


|die Motivation|der Motivation&emsp;die Motivationen|мотивация

|das Geheimnis|des Geheimnisses&emsp;die Geheimnisse|тайна

|die Integration|der Integration&emsp;die Integrationen|интеграция

|die Verbreitung|der Verbreitung&emsp;die Verbreitungen|распространение

|die Fähigkeit|der Fähigkeit&emsp;die Fähigkeiten|способность

|das Mitglied|des Mitglieds&emsp;die Mitglieder|член

|die Strategie|der Strategie&emsp;die Strategien|стратегия

|das System|des Systems&emsp;die Systeme|система

|das Projekt|des Projekts&emsp;die Projekte|проект

|die Karriere|der Karriere&emsp;die Karrieren|карьера
