# 072 - Mots fréquents

|le trait|tʁɛ|черта
|la référence|ʁefeʁɑ̃s|референс
|le bois|bwɑ|лес
|identifier|idɑ̃tifje|идентифицировать
|le symbole|sɛ̃bɔl|символ
|la consommation|kɔ̃sɔmasjɔ̃|потребление
|idéal|ideal, -o|идеальный
|le chômage|ʃomaʒ|безработица
|le courage|kuʁaʒ|кураж
|la reconnaissance|ʁ(ə)kɔnɛsɑ̃s|разведка
|le entretien|ɑ̃tʁətjɛ̃|техобслуживание
|encourager|ɑ̃kuʁaʒe|ободрять
|le kilomètre|kilɔmɛtʁ|километр
|dérouler|deʁule|разматывать
|la identité|idɑ̃tite|идентичность
|le amendement|amɑ̃dmɑ̃|улучшение
|signaler|siɲale|сигнализировать
|la division|divizjɔ̃|деление
|le contexte|kɔ̃tɛkst|контекст
|coupable|kupabl|виновный
