# 096 - Mots fréquents

|le match|matʃ|матч
|la pointe|pwɛ̃t|остриё
|gouvernemental|guvɛʁnəmɑ̃tal, -o|правительственный
|exécuter|ɛgzekyte|исполнять
|la tragédie|tʁaʒedi|трагедия
|la distribution|distʁibysjɔ̃|распределение
|le scandale|skɑ̃dal|скандал
|irakien|iʁakjɛ̃, -jɛn|иракец
|chinois|ʃinwa, -z|китаец
|le bénéfice|benefis|польза
|le billet|bijɛ|записка
|le choc|ʃɔk|толчок
|la proportion|pʁɔpɔʁsjɔ̃|пропорция
|le canal|kanal, -o|канал
|briser|bʁize|разбивать
|la destruction|dɛstʁyksjɔ̃|разрушение
|reculer|ʁ(ə)kyle|отодвигать
|le critère|kʁitɛʁ|критерий
|le gardien|gaʁdjɛ̃, -jɛn|хранитель
|la adresse|adʁɛs|адрес
