# 120 - Mots fréquents

|autochtone|otokton|туземный
|le continent|kɔ̃tinɑ̃, -t|континент
|définitivement|definitivmɑ̃|окончательно
|heureusement|øʁøzmɑ̃|счастливо
|digne|diɲ|достойный
|le guide|gid|гид
|le tabac|taba|табак
|le rendement|ʁɑ̃dmɑ̃|доходность
|la ampleur|ɑ̃plœʁ|ширина
|pleinement|plɛnmɑ̃|вполне
|le désastre|dezastʁ|бедствие
|joli|ʒɔli|красивая
|promouvoir|pʁɔmuvwaʁ|продвигать
|le écho|eko|эхо
|la fusion|fyzjɔ̃|плавление
|la innovation|inɔvasjɔ̃|нововведение
|la sélection|selɛksjɔ̃|отбор
|confondre|kɔ̃fɔ̃dʁ|смешивать
|honnête|ɔnɛt|честный
|tournant|tuʁnɑ̃, -t|вертящийся
