# 092 - Mots fréquents

|la figure|figyʁ|фигура
|la masse|mas|масса
|susceptible|sysɛptibl|восприимчивый
|étroit|etʁwa, -t|узкий
|le goût|gu|вкус
|la prestation|pʁɛstasjɔ̃|предоставление
|régner|ʁeɲe|править
|la catastrophe|katastʁɔf|катастрофа
|ressortir|ʁ(ə)sɔʁtiʁ|выходить (вновь)
|la exploitation|ɛksplwatasjɔ̃|эксплуатация
|la manifestation|manifɛstasjɔ̃|манифестация
|dormir|dɔʁmiʁ|спать
|le lit|li|кровать
|la bouche|buʃ|рот
|la excuse|ɛkskyz|извинение
|la veille|vɛj|бодрствование
|content|kɔ̃tɑ̃, -t|довольный
|rassurer|ʁasyʁe|заверять
|triste|tʁist|грустный
|latin|latɛ̃, -in|латинский
