# 090 - Mots fréquents

|la contribution|kɔ̃tʁibysjɔ̃|взнос
|la profondeur|pʁɔfɔ̃dœʁ|глубина
|émettre|emɛtʁ|излучать
|le test|tɛst|тест
|le vice|vis|порок
|la pêche|pɛʃ|персик
|la découverte|dekuvɛʁt|открытие
|potentiel|pɔtɑ̃sjɛl|потенциальный
|agricole|agʁikɔl|сельскохозяйственный
|intellectuel|ɛ̃telɛktɥɛl|интеллектуальный
|la essence|esɑ̃s|бензин
|pencher|pɑ̃ʃe|наклонять
|le artiste|aʁtist|артист
|le coin|kwɛ̃|угол
|la tension|tɑ̃sjɔ̃|напряжение
|le don|dɔ̃|дар
|uniforme|ynifɔʁm|единообразный
|fidèle|fidɛl|верный
|la grève|gʁɛv|забастовка
|le achat|aʃa|покупка
