# 118 - Mots fréquents

|arracher|aʁaʃe|вырывать
|sombre|sɔ̃bʁ|тёмный
|la barre|baʁ|брус
|la contradiction|kɔ̃tʁadiksjɔ̃|противоречие
|maîtriser|metʁize|осваивать
|violer|vjɔle|нарушать
|la souveraineté|suv(ə)ʁɛnte|суверенитет
|épargner|epaʁɲe|сберегать
|la concentration|kɔ̃sɑ̃tʁasjɔ̃|концентрация
|téléphonique|telefɔnik|телефонный
|la remise|ʁ(ə)miz|передача
|le mec|mɛk|мужчина
|la solidarité|sɔlidaʁite|солидарность
|restreindre|ʁɛstʁɛ̃dʁ|убавлять
|la décennie|deseni|десятилетие
|aussitôt|osito|тотчас
|officiellement|ɔfisjɛlmɑ̃|официально
|chasser|ʃase|охотиться
|dîner|dine|ужинать
|personnellement|pɛʁsɔnɛlmɑ̃|лично
