# A1 - 024 - die Substantive


|die Krankheit|der Krankheit&emsp;die Krankheiten|болезнь

|die Buchhandlung|der Buchhandlung&emsp;die Buchhandlungen|книжный магазин

|die Party|der Party&emsp;die Partys|вечеринка

|die Frage|der Frage&emsp;die Fragen|вопрос

|der Name|des Namens&emsp;die Namen|имя

|die Ananas|der Ananas&emsp;die Ananas|ананас

|der Bauch|des Bauches&emsp;die Bäuche|живот

|der Sohn|des Sohnes&emsp;die Söhne|сын

|die Zwiebel|der Zwiebel&emsp;die Zwiebeln|лук

|die Couch|der Couch&emsp;die Couchen|диван
