# B2 - 085 - die Substantive


|die Beziehung|der Beziehung&emsp;die Beziehungen|отношение

|die Darstellung|der Darstellung&emsp;die Darstellungen|изображение

|die Ursache|der Ursache&emsp;die Ursachen|причина

|das Wachstum|des Wachstums&emsp;die Wachstümer|рост

|der Rückblick|des Rückblicks&emsp;die Rückblicke|взгляд назад

|die Dauer|der Dauer&emsp;die Dauern|продолжительность

|die Theorie|der Theorie&emsp;die Theorien|теория

|die Koordination|der Koordination&emsp;die Koordinationen|координация

|die Zweideutigkeit|der Zweideutigkeit&emsp;die Zweideutigkeiten|двусмысленность

|die Erwartung|der Erwartung&emsp;die Erwartungen|ожидание
