# B2 - 096 - die Substantive


|die Reinheit|der Reinheit&emsp;die Reinheiten|чистота

|die Überprüfung|der Überprüfung&emsp;die Überprüfungen|проверка

|die Sicherheit|der Sicherheit&emsp;die Sicherheiten|безопасность

|die Betrachtung|der Betrachtung&emsp;die Betrachtungen|рассмотрение

|die Bezeichnung|der Bezeichnung&emsp;die Bezeichnungen|обозначение

|die Verbindung|der Verbindung&emsp;die Verbindungen|связь

|der Beweis|des Beweises&emsp;die Beweise|доказательство

|das Verhalten|des Verhaltens&emsp;die Verhaltensweisen|поведение

|das Objekt|des Objekts&emsp;die Objekte|объект

|die Abweichung|der Abweichung&emsp;die Abweichungen|отклонение
