# B1 - 069 - die Substantive


|die Nase|der Nase&emsp;die Nasen|нос

|die Fantasie|der Fantasie&emsp;die Fantasien|фантазия

|die Notiz|der Notiz&emsp;die Notizen|заметка

|die Bremse|der Bremse&emsp;die Bremsen|тормоз

|der Nachbar|des Nachbarn&emsp;die Nachbarn|сосед

|die Erwiderung|der Erwiderung&emsp;die Erwiderungen|ответ

|die Absicht|der Absicht&emsp;die Absichten|намерение

|der Bach|des Bachs&emsp;die Bäche|ручей

|die Herkunft|der Herkunft&emsp;die Herkünfte|происхождение

|die Nachbarschaft|der Nachbarschaft&emsp;die Nachbarschaften|соседство
