# B2 - 086 - die Substantive


|die Steuerung|der Steuerung&emsp;die Steuerungen|управление

|die Fertigkeit|der Fertigkeit&emsp;die Fertigkeiten|умение

|die Umsetzung|der Umsetzung&emsp;die Umsetzungen|реализация

|die Ablehnung|der Ablehnung&emsp;die Ablehnungen|отказ

|das Material|des Materials&emsp;die Materialien|материал

|die Zulassung|der Zulassung&emsp;die Zulassungen|разрешение

|die Verkündigung|der Verkündigung&emsp;die Verkündigungen|провозглашение

|die Implementierung|der Implementierung&emsp;die Implementierungen|внедрение

|das Signal|des Signals&emsp;die Signale|сигнал

|die Höflichkeit|der Höflichkeit&emsp;die Höflichkeiten|вежливость
