# C2 - 113 - die Substantive


|die Ermunterung|der Ermunterung&emsp;die Ermunterungen|ободрение

|die Freizügigkeit|der Freizügigkeit&emsp;die Freizügigkeiten|свободное перемещение

|die Entkräftung|der Entkräftung&emsp;die Entkräftungen|опровержение

|die Abstraktion|der Abstraktion&emsp;die Abstraktionen|абстракция

|die Bewilligung|der Bewilligung&emsp;die Bewilligungen|одобрение

|die Flexibilität|der Flexibilität&emsp;die Flexibilitäten|гибкость

|die Disputation|der Disputation&emsp;die Disputationen|диспут

|die Auffassungsgabe|der Auffassungsgabe&emsp;die Auffassungsgaben|способность к пониманию

|die Begebenheit|der Begebenheit&emsp;die Begebenheiten|случай

|die Affinität|der Affinität&emsp;die Affinitäten|близость
