# A1 - 017 - die Substantive


|der Baum|des Baumes&emsp;die Bäume|дерево

|der Bahnhof|des Bahnhofs&emsp;die Bahnhöfe|вокзал

|die Straße|der Straße&emsp;die Straßen|улица

|der Bäcker|des Bäckers&emsp;die Bäcker|пекарь

|der Pullover|des Pullovers&emsp;die Pullover|свитер

|der Schreibtisch|des Schreibtisches&emsp;die Schreibtische|письменный стол

|die Uhr|der Uhr&emsp;die Uhren|часы

|der Saft|des Saftes&emsp;die Säfte|сок

|das Handy|des Handys&emsp;die Handys|мобильный телефон

|das Gemüse|des Gemüses&emsp;die Gemüse|овощи
