# C2 - 115 - die Substantive


|die Absprache|der Absprache&emsp;die Absprachen|договоренность

|die Betrachtungsweise|der Betrachtungsweise&emsp;die Betrachtungsweisen|способ рассмотрения

|die Legitimierung|der Legitimierung&emsp;die Legitimierungen|легитимация

|die Bewährung|der Bewährung&emsp;die Bewährungen|условное освобождение

|die Aktualisierung|der Aktualisierung&emsp;die Aktualisierungen|обновление

|die Kultivierung|der Kultivierung&emsp;die Kultivierungen|культивация

|die Alarmbereitschaft|der Alarmbereitschaft&emsp;die Alarmbereitschaften|готовность тревоги

|die Lösungsfindung|der Lösungsfindung&emsp;die Lösungsfindungen|поиск решения

|die Hervorhebung|der Hervorhebung&emsp;die Hervorhebungen|выделение

|die Begabung|der Begabung&emsp;die Begabungen|одаренность
