# A2 - 050 - die Substantive


|der August|des Augusts&emsp;die Auguste|август

|der Ausflug|des Ausflugs&emsp;die Ausflüge|экскурсия

|der Ausgang|des Ausgangs&emsp;die Ausgänge|выход

|die Aussicht|der Aussicht&emsp;die Aussichten|перспектива

|die Badewanne|der Badewanne&emsp;die Badewannen|ванна

|das Bankkonto|des Bankkontos&emsp;die Bankkonten|банковский счет

|die Bar|der Bar&emsp;die Bars|бар

|die Basis|der Basis&emsp;die Basen|база

|der Basketball|des Basketballs&emsp;die Basketbälle|баскетбол

|der Bau|des Baus&emsp;die Bauten|строительство
