# B1 - 075 - die Substantive


|das Lob|des Lobes&emsp;die Lobe|похвала

|die Akademie|der Akademie&emsp;die Akademien|академия

|der Nagel|des Nagels&emsp;die Nägel|ноготь

|der November|des Novembers&emsp;die November|ноябрь

|das Gedicht|des Gedichtes&emsp;die Gedichte|стихотворение

|die Quelle|der Quelle&emsp;die Quellen|источник

|die Achtung|der Achtung&emsp;die Achtungen|внимание

|die Mehrheit|der Mehrheit&emsp;die Mehrheiten|большинство

|die Ebene|der Ebene&emsp;die Ebenen|уровень

|die Anzeige|der Anzeige&emsp;die Anzeigen|объявление
