# C2 - 126 - die Substantive


|die Abneigung|der Abneigung&emsp;die Abneigungen|отвращение

|die Linderung|der Linderung&emsp;die Linderungen|облегчение

|die Strukturanalyse|der Strukturanalyse&emsp;die Strukturanalysen|структурный анализ

|die Büchersammlung|der Büchersammlung&emsp;die Büchersammlungen|книжное собрание

|die Ausklammerung|der Ausklammerung&emsp;die Ausklammerungen|исключение

|die Anordnung|der Anordnung&emsp;die Anordnungen|распоряжение

|die Anwendungsmöglichkeit|der Anwendungsmöglichkeit&emsp;die Anwendungsmöglichkeiten|возможность применения

|die Bequemlichkeit|der Bequemlichkeit&emsp;die Bequemlichkeiten|удобство

|die Detonation|der Detonation&emsp;die Detonationen|взрыв

|die Aneignung|der Aneignung&emsp;die Aneignungen|освоение
