# A2 - 057 - die Substantive


|das Gefühl|des Gefühls&emsp;die Gefühle|чувство

|das Gehirn|des Gehirns&emsp;die Gehirne|мозг

|der Gegner|des Gegners&emsp;die Gegner|противник

|der Gehweg|des Gehweges&emsp;die Gehwege|тротуар

|das Geld|des Geldes&emsp;die Gelder|деньги

|die Geldbörse|der Geldbörse&emsp;die Geldbörsen|кошелек

|das Gemälde|des Gemäldes&emsp;die Gemälde|картина

|die Generation|der Generation&emsp;die Generationen|поколение

|das Genie|des Genies&emsp;die Genies|гений

|das Gerät|des Gerätes&emsp;die Geräte|прибор
